4A Flyer (1986)(John Phillips)[with source code]>4A Flyer (1986)(John Phillips)[with source code]>>Other - NR (Not Rated)
9T9 User's Group (19xx)(-)>9T9 User's Group (19xx)(-)>>Other - NR (Not Rated)
9T9 User's Group Disk of the Month (198x)(9T9)(PD)>9T9 User's Group Disk of the Month (198x)(9T9)(PD)>>Other - NR (Not Rated)
9T9 User's Group Disk of the Month (19xx)(9T9)(PD)[req. PHM 3026]>9T9 User's Group Disk of the Month (19xx)(9T9)(PD)[req. PHM 3026]>>Other - NR (Not Rated)
AC Circuit Analysis Library (1981)(Texas Instruments)[PHD 5044]>AC Circuit Analysis Library (1981)(Texas Instruments)[PHD 5044]>>Other - NR (Not Rated)
Advanced Half Bit Map Utilities (1995)(Bruce Harrison)(PD)>Advanced Half Bit Map Utilities (1995)(Bruce Harrison)(PD)>>Other - NR (Not Rated)
Adventure in Oz (198x)(-)(PD)>Adventure in Oz (198x)(-)(PD)>>Other - NR (Not Rated)
Adventureland (1981)(Texas Instruments)[PHD 5046][req. PHM 3041][DSK1.ADVENTURE]>Adventureland (1981)(Texas Instruments)[PHD 5046][req. PHM 3041][DSK1.ADVENTURE]>>Other - NR (Not Rated)
AMS File Transfer (1998)(Bruce Harrison)(PD)>AMS File Transfer (1998)(Bruce Harrison)(PD)>>Other - NR (Not Rated)
AMS Slideshow (1997)(Bruce Harrison)(PD)>AMS Slideshow (1997)(Bruce Harrison)(PD)>>Other - NR (Not Rated)
AMS Video Titler (1997)(Bruce Harrison)(PD)>AMS Video Titler (1997)(Bruce Harrison)(PD)>>Other - NR (Not Rated)
Archiver III v3.03 (1989)(Barry Boone)>Archiver III v3.03 (1989)(Barry Boone)>>Other - NR (Not Rated)
Assembly Language Games (1992)(-)[USGROP716B]>Assembly Language Games (1992)(-)[USGROP716B]>>Other - NR (Not Rated)
Assembly Language Games (1993)(-)[USGROP842A]>Assembly Language Games (1993)(-)[USGROP842A]>>Other - NR (Not Rated)
Assembly Language Games (1993)(-)[USGROP851]>Assembly Language Games (1993)(-)[USGROP851]>>Other - NR (Not Rated)
Astroblitz (1988)(-) & TI-Mazogz (1988)(B. Waldmann)(PD)>Astroblitz (1988)(-) & TI-Mazogz (1988)(B. Waldmann)(PD)>>Other - NR (Not Rated)
Astronomy (1982)(Texas Instruments)[PHD 5081][req. PHM 3026]>Astronomy (1982)(Texas Instruments)[PHD 5081][req. PHM 3026]>>Other - NR (Not Rated)
Atari Cracked (19xx)(-)[req. PHM 3055 option 3][DSK1.ATARI]>Atari Cracked (19xx)(-)[req. PHM 3055 option 3][DSK1.ATARI]>>Other - NR (Not Rated)
Attack of the Creepers v1.5 (19xx)(Ian Howle)(PD)>Attack of the Creepers v1.5 (19xx)(Ian Howle)(PD)>>Other - NR (Not Rated)
Basketball Statistician (1981)(Texas Instruments)[PHD 5023][req. PHM 3026]>Basketball Statistician (1981)(Texas Instruments)[PHD 5023][req. PHM 3026]>>Other - NR (Not Rated)
BCS Disk 028 (1989)(BCS)(PD)>BCS Disk 028 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 029 (1989)(BCS)(PD)>BCS Disk 029 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 030 (1989)(BCS)(PD)>BCS Disk 030 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 031 (1989)(BCS)(PD)>BCS Disk 031 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 032 (1989)(BCS)(PD)>BCS Disk 032 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 033 (1989)(BCS)(PD)>BCS Disk 033 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 034 (1989)(BCS)(PD)>BCS Disk 034 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 035 (1989)(BCS)(PD)>BCS Disk 035 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 036 (1989)(BCS)(PD)>BCS Disk 036 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 037 (1989)(BCS)(PD)>BCS Disk 037 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 038 (1989)(BCS)(PD)>BCS Disk 038 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 039 (1989)(BCS)(PD)>BCS Disk 039 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 040 (1989)(BCS)(PD)>BCS Disk 040 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 041 (1989)(BCS)(PD)>BCS Disk 041 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 042 (1989)(BCS)(PD)>BCS Disk 042 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 043 (1989)(BCS)(PD)>BCS Disk 043 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 044 (1989)(BCS)(PD)>BCS Disk 044 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 045 (1989)(BCS)(PD)>BCS Disk 045 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 046 (1989)(BCS)(PD)(Disk 1 of 2)>BCS Disk 046 (1989)(BCS)(PD)(Disk 1 of 2)>>Other - NR (Not Rated)
BCS Disk 046 (1989)(BCS)(PD)(Disk 2 of 2)>BCS Disk 046 (1989)(BCS)(PD)(Disk 2 of 2)>>Other - NR (Not Rated)
BCS Disk 047 (1989)(BCS)(PD)>BCS Disk 047 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 048 (1989)(BCS)(PD)>BCS Disk 048 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 049 (1989)(BCS)(PD)>BCS Disk 049 (1989)(BCS)(PD)>>Other - NR (Not Rated)
BCS Disk 050 (1989)(BCS)(PD)>BCS Disk 050 (1989)(BCS)(PD)>>Other - NR (Not Rated)
